Train Loss,Train Accuracy,Valid Loss,Valid Accuracy,Precision,Recall,F1 Score
0.8334846872091294,0.695,0.2840357394814491,0.90525,0.9244791666666667,0.90625,0.9061147186147185
0.21773141020536424,0.9225,0.20128772839158773,0.9195,0.9715909090909091,0.96875,0.9689552545155994
0.14087191421290238,0.9439166666666666,0.17496768374741078,0.93025,0.9715909090909091,0.96875,0.9689552545155994
0.10817068670193354,0.9544166666666667,0.17113501296937467,0.9315,0.9715909090909091,0.96875,0.9689552545155994
0.09210066606725256,0.96,0.16976050186902283,0.9285,0.9715909090909091,0.96875,0.9689552545155994
0.07981404951090613,0.9651666666666666,0.1931638147290796,0.9265,0.9715909090909091,0.96875,0.9689552545155994
0.07034778677423795,0.9690833333333333,0.19876274760067464,0.92975,0.9715909090909091,0.96875,0.9689552545155994
0.062312073909367126,0.9734166666666667,0.19001099128182977,0.9305,0.9715909090909091,0.96875,0.9689552545155994
0.056904640564695,0.9768333333333333,0.20963269772566856,0.9265,0.9715909090909091,0.96875,0.9689552545155994
0.04625264076578121,0.9828333333333333,0.20897105561289936,0.93425,0.9715909090909091,0.96875,0.9689552545155994
0.04067217863102754,0.9838333333333333,0.221673013696447,0.93,0.9715909090909091,0.96875,0.9689552545155994
0.030707807139493525,0.9880833333333333,0.2302735897032544,0.934,0.9715909090909091,0.96875,0.9689552545155994
0.027605076191946864,0.9898333333333333,0.2462569182435982,0.932,0.9715909090909091,0.96875,0.9689552545155994
0.02405034632763515,0.992,0.2590113248452544,0.9305,0.9715909090909091,0.96875,0.9689552545155994
0.023048201528998714,0.9925833333333334,0.28146876381151376,0.92575,0.9715909090909091,0.96875,0.9689552545155994
0.018453321940265596,0.994,0.28000491092121227,0.93025,0.9715909090909091,0.96875,0.9689552545155994
0.01682772182269643,0.9936666666666667,0.3028572038565762,0.9295,0.9715909090909091,0.96875,0.9689552545155994
0.01643607883279522,0.9943333333333333,0.285978106778115,0.92725,0.9715909090909091,0.96875,0.9689552545155994
0.01702809304619829,0.9948333333333333,0.31813767886604183,0.928,0.9715909090909091,0.96875,0.9689552545155994
0.01692157788046946,0.9936666666666667,0.3198948027412407,0.92875,0.9715909090909091,0.96875,0.9689552545155994
